"микрофлис, полиэстер",флис
"микрофлис, полиэстер, нейлон",флис
"микрофлис, полиэстер, эластан",флис
"микрофлис, эластан, полиэстер",флис
"модал, 93%; кашемир, 7%",хлопок/полиэстер
"мольтон, хлопок 50%, полиэстер 50%, плотность 280",хлопок/полиэстер
"мольтон, хлопок 80%, полиэстер 20%, плотность 280",хлопок/полиэстер
"мольтон, хлопок 80%, полиэстер 20%, плотность 280м",хлопок/полиэстер
мольтон; полиэстер 50%; хлопок 50%,хлопок/полиэстер
мягкий нейлон,полиэстер
натуральная кожа; пряжка - металл,другое
натуральная солома,другое
нейлон,полиэстер
нейлон 100%,полиэстер
"нейлон 100%, 210T",полиэстер
"нейлон 100%, 210T; наполнитель - полиэстер 100%",полиэстер
"нейлон 100%, 210Т",полиэстер
"нейлон 100%, 210Т; подкладка - полиэстер",полиэстер
"нейлон 100%, 210Т; подкладка - полиэстер, 190T; утеплитель - полиэстер, плотность 220 г/м2",полиэстер
"нейлон 100%, 210Т; подкладка - полиэстер, 190T; утеплитель - полиэстер, плотность 220 г/м²",полиэстер
"нейлон 100%, 210Т; подкладка - полиэстер, плотность 210 г/м²",полиэстер
"нейлон 100%, 210Т; утеплитель - полиэстер, 220 г/м²; подкладка - полиэстер, 190T",полиэстер
"нейлон 100%, 210Т; утеплитель - полиэстер, плотность 220 г/м²; подкладка - полиэстер, 190T",полиэстер
"нейлон 100%, мембрана WP 5000/MVP5000",полиэстер
"нейлон 100%, плотность 160D; подкладка полиэстер 1",полиэстер
"нейлон 100%, плотность 20D; подкладка полиэстер 10",полиэстер
"нейлон 100%, плотность 210 г/м2",полиэстер
"нейлон 100%, плотность 210 г/м2",полиэстер
"нейлон 100%, плотность 210 г/м²",полиэстер
"нейлон 100%, плотность 210 г/м2; подкладка полиэст",полиэстер
"нейлон 100%, плотность 380T; подкладка полиэстер 1",полиэстер
"нейлон 100%, плотность 70 г/м2",полиэстер
"нейлон 100%, плотность 70 г/м²",полиэстер
"нейлон 100%; микрофибра, с пропиткой ПВХ; подкладка - полиэстер, 190Т",полиэстер
нейлон 100%; подкладка - джерси,полиэстер
"нейлон 100%; подкладка - полиэстер 100%; утеплитель - полиэстер, плотность 200 г/м2",полиэстер
"нейлон 100%; подкладка - полиэстер 100%; утеплитель - полиэстер, плотность 200 г/м²",полиэстер
"нейлон 100%; подкладка, утеплитель - полиэстер 100%, плотность 60 г/м2",полиэстер
"нейлон 100%; подкладка, утеплитель - полиэстер 100%, плотность 60 г/м²",полиэстер
"нейлон 100%; утеплитель - полиэстер 100%, плотность 180 г/м²",полиэстер
нейлон теслон 100%,полиэстер
"нейлон, мембрана WP 5000/MVP5000",полиэстер
"нейлон, микрофлис, полиэстер",флис
"нейлон, плотность 210 г/м2; утеплитель - синтепон, 200 г/м2",полиэстер
"нейлон, плотность 210 г/м²; утеплитель - синтепон, 200 г/м²",полиэстер
"нейлон, полиэстер",полиэстер
"нейлон, полиэстер, микрофлис",полиэстер
"нейлон, полиэстер, твил, тафта",полиэстер
"нейлон, рипстоп",полиэстер
"нейлон, твил, полиэстер, тафта",полиэстер
"нейлон, хлопок, полиэстер",полиэстер
нетканый материал,другое
"органический хлопок, эластан",хлопок
"перед - нейлон; наполнитель - полиэстер; рукава и спина - полиэстер 65%; вискоза, 30%; эластан 5%; неопрен, плотность 320 г/м²",полиэстер
переплетный картон; акрил,другое
"пике; хлопок 100%, плотность 170 г/м2",хлопок
"пике; хлопок 100%, плотность 170 г/м²",хлопок
"пике; хлопок 100%, плотность 240 г/м2",хлопок
"пике; хлопок 100%, плотность 240 г/м²",хлопок
"пике; хлопок 100%, плотность 270 г/м2",хлопок
"пике; хлопок 100%, плотность 270 г/м²",хлопок
пластик,другое
"пластик, резина",другое
"платок - вискоза с добавлением шелка; шкатулка, подвеска - дерево",полиэстер
"платок - шелк, с добавлением полиэстера",полиэстер
"платок - шелк, с добавлением полиэстера; атомайзер - нержавеющая сталь",полиэстер
"платок - шелк, с добавлением полиэстера; зеркало - натуральная кожа, стекло",полиэстер
"платок - шелк, с добавлением полиэстера; кормушка - нержавеющая сталь; тубус - дерево",полиэстер
"платок - шелк, с добавлением полиэстера; подставка-корона - металл, никелированная сталь с зеркальной поверхностью",полиэстер
"полиамид, 100%",полиэстер
"полиамид, нейлон теслон",полиэстер
"полиамид, плотность 110 г/м2; рипстоп",полиэстер
"полиамид, плотность 110 г/м²; рипстоп",полиэстер
"полиамид, утеплитель - 80% пух, 20% перо",полиэстер
"полиамид, утеплитель - 90% пух, 10% перо",полиэстер
полипропилен,полиэстер
полиэстер,полиэстер
полиэстер,полиэстер
полиэстер / эластан,полиэстер
полиэстер 100%,полиэстер
"полиэстер 100%, 210T",полиэстер
"полиэстер 100%, 300D; подкладка-флис, нейлон",полиэстер
"полиэстер 100%, дюспо, 240Т; утеплитель - синтепон, плотность 200 г/м2",полиэстер
"полиэстер 100%, дюспо, 240Т; утеплитель - синтепон, плотность 200 г/м²",полиэстер
"полиэстер 100%, односторонний флис",флис
"полиэстер 100%, переработанный, рипстоп",полиэстер
"полиэстер 100%, плотность 105 г/м2; подкладка - полиэстер 100%, сетка",полиэстер
"полиэстер 100%, плотность 105 г/м²; подкладка - полиэстер 100%, сетка",полиэстер
"полиэстер 100%, плотность 110 г/м2, микроволокно",полиэстер
"полиэстер 100%, плотность 110 г/м², микроволокно",полиэстер
"полиэстер 100%, плотность 110 г/м²; микроволокно",полиэстер
"полиэстер 100%, плотность 120 г/м²; джерси",полиэстер
"полиэстер 100%, плотность 120 г/м2; сетка Mesh",полиэстер
"полиэстер 100%, плотность 120 г/м²; сетка Mesh",полиэстер
"полиэстер 100%, плотность 123 г/м2",полиэстер
"полиэстер 100%, плотность 123 г/м²",полиэстер
"полиэстер 100%, плотность 130 г/м2; джерси",полиэстер
"полиэстер 100%, плотность 130 г/м²; джерси",полиэстер
"полиэстер 100%, плотность 135 г/м2",полиэстер
"полиэстер 100%, плотность 140 г/м2",полиэстер
"полиэстер 100%, плотность 140 г/м2",полиэстер
"полиэстер 100%, плотность 140 г/м²",полиэстер
"полиэстер 100%, плотность 140 г/м2; джерси",полиэстер
"полиэстер 100%, плотность 140 г/м²; джерси",полиэстер
"полиэстер 100%, плотность 150 г/м2; интерлок",полиэстер
"полиэстер 100%, плотность 150 г/м²; интерлок",полиэстер
"полиэстер 100%, плотность 150 г/м²; утеплитель - пух 90%, перо 10%",полиэстер
"полиэстер 100%, плотность 160 г/м2",полиэстер
"полиэстер 100%, плотность 160 г/м²",полиэстер
"полиэстер 100%, плотность 160 г/м2; джерси",полиэстер
"полиэстер 100%, плотность 160 г/м²; джерси",полиэстер
"полиэстер 100%, плотность 170 г/м²",полиэстер
"полиэстер 100%, плотность 180 г/м2",полиэстер
"полиэстер 100%, плотность 180 г/м²",полиэстер
"полиэстер 100%, плотность 180 г/м2; микрофлис",флис
"полиэстер 100%, плотность 180 г/м²; микрофлис",полиэстер
"полиэстер 100%, плотность 180 г/м2; пике",полиэстер
"полиэстер 100%, плотность 180 г/м²; пике",полиэстер
"полиэстер 100%, плотность 180 г/м²; софтшелл",полиэстер
"полиэстер 100%, плотность 200 г/м2, интерлок",полиэстер
"полиэстер 100%, плотность 200 г/м², интерлок",полиэстер
"полиэстер 100%, плотность 200 г/м²; флис",полиэстер
"полиэстер 100%, плотность 200 г/м2; флис, (микрофлис)",флис
"полиэстер 100%, плотность 200 г/м²; флис, (микрофлис)",полиэстер
"полиэстер 100%, плотность 200 г/м²; флис, (микрофлис)",полиэстер
"полиэстер 100%, плотность 20D; подкладка полиэстер",полиэстер
"полиэстер 100%, плотность 210 г/м2",полиэстер
"полиэстер 100%, плотность 210 г/м²",полиэстер
"полиэстер 100%, плотность 230 г/м2, интерлок",полиэстер
"полиэстер 100%, плотность 230 г/м², интерлок",полиэстер
"полиэстер 100%, плотность 240 г/м2; подкладка поли",полиэстер
"полиэстер 100%, плотность 250 г/м2",полиэстер
"полиэстер 100%, плотность 250 г/м2; флис",полиэстер
"полиэстер 100%, плотность 250 г/м²; флис",полиэстер
"полиэстер 100%, плотность 280 г/м2; микрофлис",флис
"полиэстер 100%, плотность 280 г/м²; микрофлис",полиэстер
"полиэстер 100%, плотность 280 г/м2; флис",флис
"полиэстер 100%, плотность 280 г/м²; флис",полиэстер
"полиэстер 100%, плотность 300 г/м2",полиэстер
"полиэстер 100%, плотность 300 г/м2; флис",флис
"полиэстер 100%, плотность 300 г/м²; флис",полиэстер
"полиэстер 100%, плотность 300 г/м²; флис, плотность 300 г/м²",полиэстер
"полиэстер 100%, плотность 320 г/м²; флис",полиэстер
"полиэстер 100%, плотность 320T; подкладка полиэсте",полиэстер
"полиэстер 100%, плотность 340 г/м²; флис",полиэстер
